mot;definition;raison
CM;Initiales du récupérateur de 1998;erreur
LB;Initiales du buteur en or de l'Euro 2000;erreur
LT;Deux têtes contre la Croatie, en deux lettres;erreur
BAT;Il le record du club en une seule soirée;trou
EUX;Nous contre, voilà tout le derby en un mot;trou
IRA;On dit du jeune prometteur qu'il loin;trou
LIS;Ce qu'on fait de la feuille de match avant le coup d'en;erreur
MET;Il l'y au fond, disent les commentateurs;trou
MIS;Il l'a au fond dès la première minute;trou
NIA;Le club tout accord avec le Real;trou
OTA;Il son maillot et récolta un avertissement;trou
PLU;Il a pendant toute la rencontre;trou
SUE;Le maillot en est trempé dès la vingtième minute;erreur
TAC;Deux réalisations en trois minutes, voilà le rythme;opaque
TOT;Ouvrir le score trop peut se retourner contre soi;trou
BATS;Il a arrêté un penalty en huitième contre le Brésil;erreur
BOLI;Seul buteur français en finale de Coupe d'Europe;erreur
FILS;Tel père, tel, dit le proverbe;trou
GRAZ;Quatre lettres qui finissent par un Z;opaque
IBRA;Il a marqué dans dix championnats différents;erreur
LINZ;Quatre lettres qui finissent l'alphabet;opaque
METZ;Quatre lettres qui finissent par un Z;opaque
MONS;Quatre lettres qui finissent par un S;opaque
NANI;Il a marqué en finale de l'Euro 2016;erreur
PUEL;Il avait mené Monaco en finale de C1 en 2004;erreur
RIGA;Elle a accueilli une Supercoupe d'Europe;erreur
SETE;Premier champion de France de l'histoire;erreur
TARD;Il n'est jamais trop pour y croire;trou
TIMO;Quatre lettres qui finissent par une voyelle;opaque
TOUT;Le club a gagné en une seule saison;trou
CLUBS;La Coupe du monde des se joue depuis 2000;trou
CONTE;Technicien italien champion avec Naples en 2023;erreur
DENIS;Cinq lettres qui nomment aussi une ville du Nord;erreur
ELBER;Cinq lettres qui portent aussi le nom d'un fleuve;erreur
ESTAC;Son nom commence par une étoile sportive;erreur
FABIO;Cinq lettres qui finissent par une voyelle;opaque
FRANK;Cinq lettres qui désignaient une monnaie suisse;erreur
MARIO;Prénom du meilleur buteur du Mondial 1982;erreur
MARTA;Elle a marqué dans six Coupes du monde;erreur
PATTE;Il a une bonne gauche, dit-on de lui;trou
TASSE;Boire la, c'est subir une correction;trou
ALBION;Six lettres devant Hove chez un club de la côte;erreur
AMOROS;Il a disputé trois Coupes du monde;erreur
CLASSE;Avoir de la, c'est jouer avec élégance;trou
DIACRE;Elle avait été championne d'Europe comme joueuse;erreur
LATINE;Six lettres oubliées depuis les années cinquante;opaque
MICHEL;Six lettres devenues rares chez les jeunes;opaque
OUNAHI;Il évoluait en Ligue 2 quelques mois plus tôt;erreur
RECOBA;Six lettres surnommées le Petit Prince;erreur
TIGANA;Sa course en 1982 précède le but de la qualification;erreur
TROYES;Son sigle commence par une étoile sportive;erreur
ASLLANI;Milieu suédoise passée par le Barça et Milan;erreur
BRAMALL;L'enceinte accueille du football depuis 1889;erreur
CHARITY;Sept lettres rebaptisées au début du siècle;opaque
DELAUNE;Une compétition européenne porte aussi ce nom;erreur
EMERSON;Il a gagné la Coupe du monde en 2002;erreur
LEQUIPE;Sept lettres imprimées sur papier jaune;erreur
MURMURE;Sept lettres qui contrastent avec la suite;opaque
NATIONS;La Coupe d'Afrique des porte aussi ce mot;trou
PIZARRO;Buteur péruvien recordman étranger en Bundesliga;erreur
REDONDO;Milieu espagnole buteuse en finale du Mondial 2023;erreur
REDONDO;Sept lettres qui ont offert la coupe à leur pays;erreur
ROMARIO;Ballon d'Or brésilien champion du monde en 1994;erreur
SANTINI;Il avait gagné la Coupe de France avec Lyon;erreur
SECTION;Sept lettres qui existent dans toute la France;opaque
SPORTIF;Sept lettres devant club dans un nom lisboète;erreur
TERRIER;Il avait été meilleur buteur français de Ligue 1;erreur
THAUVIN;Ailier français élu meilleur joueur de Ligue 1;erreur
BEAUVAIS;Club picard finaliste de la Coupe en 1991;erreur
BRISBANE;Elle a reçu une demi-finale du tournoi;erreur
BURKARDT;Huit lettres laissées de côté;opaque
FULLKRUG;Huit lettres qui n'ont pas fait le voyage;opaque
GOTEBORG;Sa ville est le deuxième port de Scandinavie;erreur
HELGUERA;Huit lettres du dernier rempart madrilène;erreur
PALHINHA;Huit lettres restées à Londres;opaque
TAFFAREL;Il a arrêté le penalty décisif de la finale;erreur
TRIPPIER;Son coup franc a ouvert la finale de l'Euro 2021;erreur
BENTANCUR;Il a joué la demi-finale du Mondial 2022;erreur
CANNAVARO;Ballon d'Or 2006, une première pour un défenseur;erreur
DUISBOURG;Il a disputé une finale de Coupe UEFA en 1980;erreur
KOMBOUARE;Neuf lettres surnommées le Casque noir;erreur
MIJATOVIC;Neuf lettres qui ont mis fin à une longue attentet;erreur
HEERENVEEN;Huntelaar et Robben y ont éclos;erreur
MASCHERANO;Dix lettres qui n'ont jamais marqué pour leur pays;erreur
